,Station name,UIC code,Total travelers 2023,Total travelers 2022,Total travelers 2021,Total travelers 2020,Total travelers 2019,Total travelers 2018,Total travelers 2017,Total travelers 2016,Total travelers 2015
1624,Rang-du-Fliers - Verton - Berck,87317057,311769,315635,240680,177052,276766,239500,258947,244236,256857
1625,Ranguin,87757732,92454,81312,73148,48598,76307,58424,22586,60102,62154
1626,Remoulins,87775395,628,762,0,0,0,0,0,0,0
1627,Ribeauvillé,87182279,120,80,0,0,0,6252,15555,20455,21939
1628,Rieux - Angicourt,87276352,152756,140715,112171,96796,131928,128734,144669,147764,152857
1629,Rivesaltes,87784173,141598,129029,97363,63974,85145,72553,88885,82488,82009
1630,Roche-lez-Beaupré,87718403,6352,6860,5173,4621,7487,6756,7336,6608,6423
1631,Rochefort,87485144,643312,594889,434388,302047,493168,400533,441775,392386,413934
1632,Roeschwoog,87212407,72974,72205,52696,43367,58857,53478,54412,54688,56596
1633,Rolleville,87413740,375,329,204,162,1279,1263,1980,1795,910
1634,Romilly-la-Puthenaye,87387175,8618,8685,7747,7101,9401,11751,12324,11288,11769
1635,Roumazières-Loubert,87583468,0,3,0,360,2372,3106,6588,7623,8146
1636,Ruelle-sur-Touvre,87583203,0,2,0,480,956,3501,5251,5148,6692
1637,Rully,87712026,37407,37542,20718,29406,28812,24595,23776,23150,24306
1638,Rumilly,87746149,696431,658247,494035,402379,618183,551816,608629,558333,549414
1639,Régny,87721050,48291,47448,39648,32098,36415,39049,40143,28205,30071
1640,Saint-Agne,87611301,1133306,1053068,948587,812374,1039740,918005,1106879,1084317,1138010
1641,Saint-Aignan - Noyers,87574897,88819,85328,75965,81130,96602,84308,85083,82671,83040
1642,Saint-Antoine,87751826,55214,44049,34967,17971,33063,33061,38804,30814,30930
1643,Saint-Antoine-de-Breuilh,87584201,6964,7402,5358,2807,3149,4979,7437,9590,13132
1644,Saint-Aubin-sur-Scie,87415125,15119,12469,8532,7474,11437,10580,13337,15054,16024
1645,Saint-Avold,87193318,274180,246090,185472,150433,250873,229493,263471,247406,267007
1646,Saint-Brice-sur-Vienne,87592691,1450,823,883,613,248,303,473,168,149
1647,Saint-Chamond,87726307,704109,682864,512675,429784,695128,620745,679456,629237,673848
1648,Saint-Christophe-Vallon,87613257,5907,5352,4231,3433,5509,5040,6159,6298,7273
1649,Saint-Cyr Les Lecques - La Cadière,87755215,388741,366619,302578,237125,339760,319207,343919,317891,313556
1650,Saint-Dalmas de Tende,87756866,6921,6077,2073,3695,5949,4602,7356,7654,7171
1651,Saint-Dié-des-Vosges,87144014,514458,471486,330108,247485,363148,330696,377920,383617,405652
1652,Saint-Flour - Chaudes-Aigues,87783175,11386,24527,20499,16395,20316,21879,23882,24011,31195
1653,Saint-Gaudens,87611137,363672,282401,205315,156290,199283,181915,264854,257282,275238
1654,Saint-Georges-d'Aurac,87734301,9367,12809,10356,3143,5363,4070,6540,6637,7872
1655,Saint-Hilaire - Brizambourg,87491324,1154,1160,555,201,376,306,316,519,378
