,Station name,UIC code,Total travelers 2023,Total travelers 2022,Total travelers 2021,Total travelers 2020,Total travelers 2019,Total travelers 2018,Total travelers 2017,Total travelers 2016,Total travelers 2015
680,Caudrot,87582841,11150,9654,5966,5015,8034,6238,5031,5406,8742
681,Caudry,87345561,142437,129414,101059,82399,128178,105680,115496,106785,115271
682,Cerbère,87785006,78528,71860,51686,34933,53142,49136,55700,51893,58653
683,Cercottes,87543033,52274,70521,50076,36970,42501,36191,31548,29410,29910
684,Cerizay,87487280,1493,1081,763,465,535,483,315,322,474
685,Cessieu,87723452,63210,53457,34699,24956,33073,24194,26634,29977,29255
686,Chaingy Fourneaux Plage,87574111,22905,21115,12387,8992,14271,11820,11992,9896,10526
687,Chalais,87583690,35324,31156,22195,16085,22302,16505,16052,14990,17180
688,Challans,87481390,223880,208494,151854,118681,179537,149736,158081,141623,109007
689,Chalonnes-sur-Loire,87484204,177974,160446,117731,98379,176200,181722,202158,197908,203677
690,Chamarande,87545152,156026,146618,141799,89603,177504,188475,201279,210255,220105
691,Chambéry - Challes-les-Eaux,87741009,4738346,4316253,3195946,2466954,3701807,3447007,3781533,3624235,3782600
692,Champ de Courses d'Enghien,87276030,1972164,1974639,1828450,943277,2096797,2066509,2072979,2155045,2229912
693,Champagné,87396275,15911,17740,13105,14192,22836,20618,26741,34654,40979
694,Champlan,87725457,0,0,0,0,0,0,0,0,0
695,Champs - Saint-Bris,87683615,2485,2551,1473,1684,3062,2172,3169,3195,7201
696,Chaponval,87276162,40596,47276,35917,24510,55733,55078,54127,53547,53160
697,Charleville-Mézières,87172007,1471075,1252226,992036,776821,1001032,973619,1080642,1079803,1156793
698,Chartrettes,87682419,58036,44116,58961,24561,53428,51957,50979,48843,46822
699,Chaux-des-Crotenay,87715383,3532,3102,1667,973,1721,1285,2441,1317,1993
700,Cheilly-lès-Maranges,87694398,14743,17507,9269,11925,10672,8213,6454,5515,4566
701,Chemilly - Appoigny,87683532,2472,1471,627,1286,4728,1835,1913,1564,2542
702,Chenevières,87141382,1843,1502,1574,2163,2096,2221,3028,3185,2659
703,Cherbourg-en-Cotentin,87444877,604818,587973,418713,318696,576122,516083,574314,553961,592294
704,Châbons,87747212,76626,78294,62965,44628,53351,51640,53309,50770,47815
705,Château-Arnoux-Saint-Auban,87751230,27336,20550,11083,7155,18133,31432,40836,38741,39276
706,Château-du-Loir,87396606,149322,141544,112602,81240,152866,159432,167877,161421,161909
707,Château-l'Évêque,87595165,5171,2326,2114,1671,1871,1317,1091,895,1163
708,Châtel - Nomexy,87144071,158207,162461,129652,105365,126310,108573,115421,112266,118293
709,Châtel-Censoir,87696856,6920,6712,4143,3101,4959,3339,3511,3124,3652
710,Chézy-sur-Marne,87116574,148629,113397,91229,70385,117503,106910,107151,101564,97565
711,Cinq-Mars-la-Pile,87571836,176011,183608,123458,81152,113762,106829,98350,92624,92784
712,Cintegabelle,87611376,107761,92394,73749,57628,81773,78473,104090,98862,98714
713,Clelles - Mens,87747626,35314,19784,32942,16136,22305,21559,25611,23126,24319
714,Clisson,87481440,1095662,1010242,717987,609207,934116,837855,843331,800484,772288
715,Cluses,87746370,581775,551956,436600,381748,488615,445404,464060,419989,415968
716,Clères,87411819,169331,142937,111999,97518,138604,129616,130942,126552,128705
717,Coarraze - Nay,87672139,75278,59827,39721,26993,33712,23642,31709,31169,31465
718,Coignières,87393272,580684,386452,358287,226641,466909,498229,527712,546690,565792
719,Collioure,87784256,166104,119244,85175,61975,101806,82088,97534,68177,89884
720,Collonges-lès-Premières,87713321,41346,43636,35154,28857,28509,26571,25943,29001,27526
721,Colmar,87182014,4728720,4103990,3186895,2566878,4200762,3950944,3887862,3589253,3586247
722,Colmar Saint-Joseph,87181222,77046,59776,60788,64908,76016,78681,87336,84732,87946
723,Colombier-Fontaine,87184556,17670,15399,10744,10622,14534,11952,14045,14728,14259
724,Combourg,87478057,433613,377445,274818,216965,297540,266528,267969,262920,267557
725,Conflans - Jarny,87192666,159176,125935,92548,72011,110786,105949,117396,120952,135639
726,Conlie,87396218,65904,53288,39419,33225,64332,68836,65237,63380,63827
727,Corbie,87313056,398540,361868,309580,273972,362926,347950,350076,351568,364008
728,Cormeilles-en-Parisis,87381863,3621836,3618254,3317416,1878474,3683266,3750496,3830848,3843422,3651596
729,Corps-Nuds,87471326,21534,15503,7225,3307,3533,4004,6702,38817,62696
730,Coulommiers,87116301,1027083,1167523,1077277,640283,1413685,1307147,1212158,1101461,997635
731,Courcay - Tauxigny,87571448,4326,3194,2941,3814,3709,6041,8599,13772,15474
732,Courcelles-le-Comte,87342063,1197,1465,1272,703,102,94,396,816,1126
733,Courcelles-sur-Nied,87192211,35081,24671,20659,16959,22931,20933,25377,27098,30617
734,Coursan,87781161,3382,3789,2668,2409,4105,2708,2550,2154,2427
735,Coussac-Bonneval,87592840,0,251,137,194,323,378,868,1269,1187
736,Crissé,87396226,684,1033,1152,660,1409,2138,2685,2054,1355
737,Croix L'Allumette,87281055,2546,1635,848,731,1029,1269,1669,1245,1465
738,Crécy-la-Chapelle,87116772,219495,157761,197337,84779,190995,187867,185303,179177,172569
739,Cugand,87481457,52757,39228,21738,14969,12805,11178,11186,8527,5988
740,Culoz,87741074,273513,260917,196035,151638,260868,205156,230147,221698,222735
741,Dambach-la-Ville,87214213,26459,36166,32630,29978,39069,29842,33397,37955,36828
742,Damiatte - Saint-Paul,87615484,28719,26717,21104,16042,20332,17446,21096,22814,22436
743,Dettwiller,87212183,144719,135299,116580,102216,135859,136948,141697,134122,130471
744,Die,87761841,78396,67564,42652,40656,57018,48372,54460,54047,52579
745,Dombasle-sur-Meurthe,87141119,355471,291082,248847,219102,277386,275229,291561,291766,308697
746,Dommartin - Lissieu,87721738,8814,10570,12679,13235,12140,9959,9114,8849,10901
747,Dompierre Sept Fons,87696427,20117,19909,13852,9188,14413,15074,17524,16866,17781
748,Dompierre-sur-Helpe,87295774,2245,1695,1464,1396,3175,3117,3163,2891,3146
749,Don - Sainghin,87286435,164588,149938,110511,122592,223793,219480,236725,229474,235004
750,Dorlisheim,87214338,101569,93874,78750,71117,111005,110311,107814,94877,89146
751,Dourdan La Forêt,87540179,366340,344253,633544,226155,416770,374439,343508,307640,273548
752,Dreux,87393488,2047477,1331683,1099654,919445,1606493,1471100,1633846,1660359,1788844
753,Ebblinghem,87281469,14778,13896,11304,12028,28572,27692,24707,24212,26163
754,Elbeuf - Saint-Aubin,87411173,268199,251017,191034,145887,250325,206850,207415,203369,232776
755,Epfig,87214221,44354,37423,26908,21334,26024,22409,24355,26404,30750
756,Escaudœuvres,87345496,2102,804,531,143,32,134,161,263,49
757,Estavar,87784827,322,228,255,138,181,228,96,77,82
758,Eurville,87175141,85,443,456,795,844,733,694,985,1265
759,Eymoutiers Vassivière,87592121,54327,48263,41359,34711,44042,34357,39685,38791,39292
760,Farbus,87342527,614,1070,1072,2352,3655,2718,1824,1852,2630
761,Faremoutiers - Pommeuse,87116277,252513,222979,225734,50530,269998,270856,273058,269543,265345
762,Farébersviller,87193516,2560,1340,687,930,2505,2646,3296,3169,3275
763,Faubourg d'Orléans,87576173,122051,89561,106506,133709,121436,113984,120806,131611,122855
764,Ferrières - Fontenay,87684241,123090,38200,29178,21354,36147,32070,35639,36797,40794
765,Figeac,87613091,200755,161366,118881,90222,99922,137170,167319,160735,163436
766,Fismes,87171330,279864,242742,193288,168135,188429,184856,205140,195869,199571
767,Fontaines - Mercurey,87713586,44665,52096,32194,38179,33976,33136,38084,34670,35110
768,Fontenoy-sur-Moselle,87141051,3827,2520,2344,2672,2864,2500,2502,2641,3364
769,Foug,87141036,10238,8384,6388,6301,7974,7761,9859,10024,10217
770,Fouquereuil,87342204,1338,1438,1275,1055,1632,1099,1065,2086,2236
771,Fresnoy-le-Grand,87296293,31356,26363,20237,14289,22961,19992,23812,22091,17913
772,Fromental,87592360,1664,1522,973,584,373,330,410,1042,890
773,Fronville,87175075,299,333,514,1289,1526,630,287,587,661
774,Frouard,87141077,66735,68394,50077,33962,54606,46822,45636,37882,41051
775,Frénouville - Cagny,87444182,19170,14144,9513,9392,19546,15018,15249,13308,10752
776,Futuroscope,87324095,171433,169451,94594,74475,153691,134012,178385,176508,163611
777,Gadagne,87765446,15185,17090,7649,4237,9321,8514,9396,8920,10342
778,Gagny,87113514,5645140,5305596,3268203,2469447,5094411,5155124,5225983,5196181,5145520
779,Gaillac,87615252,346599,340713,293303,230110,263296,204085,241299,224255,231166
780,Gaillon - Aubevoye,87415620,628056,550836,417872,347651,555086,492341,534151,497116,486304
781,Gan,87672618,7282,5149,3818,2628,3853,2131,2428,2614,2578
782,Gannes,87313262,2969,2867,1921,1782,1790,2805,2269,1408,2426
783,Gap,87763003,306766,262187,200559,155845,292341,294714,357164,344884,357486
784,Gestel,87476309,14874,12822,8391,5461,8441,5997,6297,8476,7922
785,Gevrey-Chambertin,87713503,118516,102990,64535,82277,106048,91622,99128,86418,95685
786,Gimont Cahuzac,87611772,71082,59368,49236,37732,54608,43555,56408,51139,57265
787,Gisors,87381244,792793,787548,694639,439629,773992,782890,928598,943223,951206
788,Glos - Montfort,87415349,0,0,0,0,830,1253,772,1213,1769
789,Golfe Juan Vallauris,87757641,450620,372400,291411,205498,366150,315547,345442,298891,309030
790,Goncelin,87747477,384902,379638,284655,254941,399451,337837,347844,328314,348637
791,Gourland,87473801,3068,2554,2918,1651,865,2325,1077,382,1608
792,Grésy-sur-Isère,87741611,14177,12966,13546,10781,17257,13601,14508,14268,14943
793,Guéret,87597609,78837,71942,55050,41808,79157,75117,87870,81869,83399
794,Génelard,87694653,13881,19122,13168,10405,13655,9809,10541,8517,7554
795,Génolhac,87775213,42768,31793,23565,19329,25944,26077,28878,30160,26947
796,Harfleur Halte,87413708,5262,4022,2591,2055,3788,3871,4858,4973,4463
797,Hargicourt - Pierrepont,87313338,22416,18689,17226,15700,16867,14222,17002,17562,16591
798,Hellemmes,87286062,400,1231,941,1452,3251,3003,2678,3459,4392
799,Hesdigneul-lès-Boulogne,87317107,24774,28112,25868,23801,30185,25969,27056,26452,28132
800,Hettange-Grande,87191163,512538,497593,366519,308253,472838,459855,532946,551410,524189
801,Hoffen,87213447,14864,13869,10899,8548,11441,7030,6809,5683,6123
802,Homécourt,87191692,36090,29272,22922,16708,30182,25483,31140,32861,28983
803,Houdan,87393462,1057190,607515,577175,366492,809939,878035,959657,996756,1026284
804,Issy Val de Seine,87393306,5112442,4807552,2531839,2303136,5823421,5933850,6140140,6198775,6228280
805,Istres,87753418,58978,53969,37624,27559,55373,54825,56917,59418,75367
806,Ivry-sur-Seine,87545301,4370022,4107947,2718878,2174567,4974218,4987697,5034584,4976350,4899522
807,Janzé,87471334,253271,215585,144677,138538,160500,159868,164231,245238,294176
808,Jarville-la-Malgrange,87141010,56411,47559,34886,30636,41635,32184,30080,27277,25777
809,Jaunay-Clan,87575217,25038,19025,15822,16113,26591,24999,29059,28974,27393
810,Joinville,87175091,78684,63579,49377,39873,57765,53597,61577,63789,68019
811,Joncet,87784710,82,101,76,54,111,29,49,33,29
812,Joncherey,87700153,7101,7473,4837,4860,3429,120,0,0,0
813,Juan les Pins,87757666,1027841,837466,609298,452532,811048,674569,728265,599898,640609
814,Juziers,87381558,360537,361367,307728,144256,296880,281817,268597,251359,252094
815,Kerhuon,87474213,49527,39605,31808,35965,47127,36793,38626,39221,38793
816,Kilstett,87212324,107114,104003,82257,69558,96880,95551,94006,91727,96973
817,Koenigsmacker,87191619,380,870,583,760,1359,860,994,1470,1585
818,L'Aiguille,87592634,2201,3242,2301,1852,3261,2746,4685,5854,5492
819,L'Arbresle,87721431,732605,722759,572388,490113,760308,729455,780602,729369,735649
820,L'Argentière Les Écrins,87763557,56004,52309,35493,29970,45379,40298,48578,51154,53159
821,L'Escarène,87756809,36526,28387,18129,17737,36730,31953,33789,24023,21104
822,L'Hospitalet-près-l'Andorre,87611517,19765,16950,10849,6753,12852,14734,18765,20230,21743
823,La Bohalle,87487843,26194,24044,14275,16229,27951,24016,23632,24580,23516
824,La Bonneville-sur-Iton,87387142,7969,7219,5242,4318,5879,6705,10923,10024,8913
825,La Borne Blanche,87276287,148582,140070,113513,95188,168264,175718,187219,192996,203215
826,La Brillanne - Oraison,87751271,36568,30411,17477,12069,29036,36763,49826,44506,41003
827,La Brohinière,87471094,17901,13220,8994,8610,12887,11065,14145,15866,17421
828,La Chapelle Centre,87481564,36734,29796,22876,18377,31155,25404,24352,24850,20869
829,La Chaussée-Saint-Victor,87574251,995,1511,868,897,2175,2513,2145,1395,1940
830,La Faloise,87313239,12440,10600,9743,7969,8722,8237,8856,9104,9207
831,La Ferté-Alais,87681452,345809,324970,330418,188972,393534,420283,451160,474134,496233
832,La Ferté-sous-Jouarre,87116517,1990462,1443454,1912973,833343,1747522,1804600,1904385,1959154,1994958
833,La Fontaine,87286427,3183,3857,2347,1408,4540,3634,4687,5429,4910
834,La Frette - Montigny,87381871,966593,957431,877452,412039,863960,875843,890871,888918,894694
835,La Garde,87755306,218212,195128,147388,86086,133493,108379,119992,97886,72684
836,La Gorp,87584755,162524,148282,109282,73619,106126,74664,53238,37327,29584
837,La Gouesnière - Cancale - Saint-Méloir-des-Ondes,87478099,85333,72140,48289,34881,49866,40271,31673,25953,26543
838,La Hume,87582635,176379,159229,121084,94411,151361,125580,122964,119166,126981
839,La Jonchère-Saint-Maurice,87592337,17573,16469,14497,14282,12096,12394,13285,13579,13240
840,La Joux,87746842,776,494,272,217,330,370,202,239,322
841,La Madeleine,87286187,19529,18027,12674,8254,9570,8509,10248,10580,11508
842,La Membrolle-sur-Choisille,87571513,1295,784,100,591,1498,1822,1468,1766,1699
843,La Pauline Hyères,87755314,165444,161149,137394,85658,119168,96754,103908,82731,78343
844,La Possonnière,87484337,143293,123691,82501,59342,113151,109779,106305,96400,93634
845,La Roche-Maurice,87474262,19088,18632,12300,9792,14028,13113,13963,13568,10990
846,La Taye,87394403,8898,13116,9605,8999,10950,11314,13316,13412,13670
847,La Teste-de-Buch,87582643,407005,395380,324489,256383,385974,336431,344846,321391,337360
848,La Tour-du-Pin,87723478,975435,938021,726612,592483,894864,844473,862522,847323,820231
849,La Tricherie,87575183,27027,25506,18020,17968,21736,20676,18790,17366,19769
850,La Verpillière,87723395,1071453,1036063,777685,607146,937186,850344,832502,735227,750245
851,Labège Innopole,87612002,215564,192317,152333,133473,192154,144726,174725,149503,172479
852,Lacapelle-Viescamp,87645150,150,130,87,18,51,31,9,16,32
853,Lacelle,87592147,1884,1830,1528,870,1118,918,1212,777,854
854,Lalande Église,87611947,108,0,0,0,0,0,1,0,411
855,Lamure-sur-Azergues,87721860,30622,24648,20077,15377,25077,21666,22679,26273,32362
856,Landerneau,87474239,817055,769296,564950,444597,636579,567152,584995,589344,595751
857,Landivisiau,87474270,225533,205452,142570,113857,151351,128925,125142,124252,132611
858,Landévant,87476234,75349,66157,51225,34646,49467,40947,42063,41967,40203
859,Laneuveville-devant-Nancy,87141093,9257,8149,7710,6555,10282,9556,8653,8719,9548
860,Langres,87142091,86126,74633,52971,46127,81529,76980,83598,85182,90181
861,Laveline-devant-Bruyères,87144162,4957,4885,3270,3175,5376,11298,14006,13068,10706
862,Le Bruel,87783548,15,23,0,9,2,2,448,133,1
863,Le Mans,87396002,5302246,5048028,3813805,2781897,4945609,4916622,5314986,5143229,5282858
864,Le Perray-en-Yvelines,87393298,722412,591206,514506,354142,715156,733118,754939,761212,764750
865,Le Rouget,87645192,7573,6750,6491,3554,6155,9298,11043,12407,14420
866,Le Teil,87764472,680,7355,3480,3311,8047,4794,1967,4536,9167
867,Le Vauriat,87641399,353,94,412,317,577,506,770,518,259
868,Les Arcs - Draguignan,87755447,997559,984891,785981,535660,819195,744501,871500,803328,795535
869,Les Aubrais,87543017,1332373,1286538,1113331,888807,1592924,1585092,1666961,1620529,1694525
870,Les Clairières de Verneuil,87386664,488969,459575,368213,194818,375772,385612,398401,402805,405538
871,Les Rosiers-sur-Loire,87487876,73278,66880,55385,41186,60806,53053,51409,48540,52118
872,Les Versannes,87595702,4049,2636,1217,813,1600,1699,2885,2641,1688
873,Les Échets,87723718,178663,163815,114128,83453,160821,146987,162984,149484,142775
874,Leucate La Franqui,87781088,118543,107549,83945,63919,68400,53643,65525,58874,61925
875,Leval,87295790,2749,2955,2621,2544,3422,2959,2184,1752,1661
876,Libercourt,87345256,886480,774844,599534,550226,839687,771411,784942,764323,784994
877,Lille Flandres,87286005,24118203,21992946,15935295,13906563,21809569,19284090,19793630,18418490,18780587
878,Lillers,87342238,173074,173657,143653,124271,199562,210324,252496,254422,270760
879,Limoges Montjovis,87592022,18369,25342,16405,11896,18657,13720,19482,18413,18741
880,Liverdun,87141069,39115,35166,24322,21124,29876,27533,24551,20434,18548
881,Loison-sous-Lens,87345231,9749,9319,7817,7162,15112,14600,15199,11559,15488
882,Longecourt-en-Plaine,87712620,4582,3284,2043,2912,4425,5133,7745,6576,6444
883,Longueville-sur-Scie,87415141,37046,30580,25177,21705,29584,24211,25154,20924,21388
884,Louhossoa,87673673,0,0,195,390,498,498,498,493,484
885,Loures - Barbazan,87611178,3288,1807,895,833,1329,1101,1235,1296,1389
886,Louroux-de-Bouble,87641050,3963,3290,2003,1987,2647,1573,1693,3188,3372
887,Louvroil,87295535,3612,2460,1683,2513,4365,3192,3810,4065,4706
888,Ludon-Médoc,87581181,72288,60311,49986,37832,44365,37270,31621,19439,26090
889,Lumes,87172189,22799,20714,16835,16421,15942,17542,21534,20465,20192
890,Lurbe-Saint-Christau,87672741,1828,1053,1490,1443,2048,1201,1854,851,0
891,Lure,87185249,218962,237350,179139,165998,194929,169657,189508,174734,196701
892,Lusignan,87485540,53287,54052,37893,31615,51159,42193,45138,42441,44928
893,Lussac-les-Châteaux,87575845,29910,28000,22124,17096,22309,19520,26226,26702,24970
894,Lutterbach,87182667,71747,57921,44604,39886,49250,45475,47464,51734,65370
895,Lutzelhouse,87214650,147238,138935,115429,107050,116951,131970,152469,151388,159059
896,Luxeuil-les-Bains,87185595,20822,24557,19894,19999,19251,21188,25898,28143,29914
897,Lyon Saint-Exupéry TGV,87762906,1813737,1666530,1404193,1117690,2392925,1781211,1490050,1245992,1241650
898,Magland,87746412,30197,30381,23993,18143,24673,18787,21825,16746,20754
899,Magnette,87641365,917,950,1312,937,2288,4108,4979,4824,2356
900,Magny - Blandainville,87394429,11900,14061,8348,3076,4625,4639,2665,2565,1987
901,Maillé,87575068,42442,39773,21401,14529,23699,20413,20861,19398,19791
902,Maisons-Alfort - Alfortville,87681155,11974756,11252775,9556579,5704366,13624825,13921116,14180872,14204397,14171754
903,Maisons-Laffitte,87386425,8319877,7964985,6034740,4048033,8594609,8358173,8149225,7842005,7549498
904,Malaunay - Le Houlme,87411256,100942,74523,61899,58505,90023,80870,88424,92259,94757
905,Marcelcave,87313445,74152,56264,46928,43568,50551,45126,41982,41023,40878
906,Marchezais - Broué,87393470,171105,153676,128477,115870,204645,207254,231517,245220,291724
907,Marignier,87746347,177316,164852,136930,116703,146796,131087,133079,110740,99742
908,Marlieux - Châtillon,87723767,143948,132752,102131,78631,119224,102360,106378,96291,100901
909,Marne-la-Vallée Chessy,87111849,4319252,4641120,3312209,2492919,5432886,5996489,6009276,5418784,5443822
910,Marquette,87287169,44,25,10,140,42,121,13,14,6
911,Marquillies,87342469,15475,10440,8763,8753,18664,16557,17314,19534,20913
912,Marseillan Plage,87781294,14368,15658,11713,8269,10913,9131,8290,6885,7208
913,Marseille Saint-Charles,87751008,17101341,16906447,13225716,9569704,14629257,13681361,14450431,13544008,13686954
914,Marssac-sur-Tarn,87615419,12690,11976,9148,6516,9832,6951,9707,8646,8842
915,Martigny-les-Bains,87144295,12552,11538,9880,5565,6953,10896,11297,11700,13316
916,Martigné-Ferchaud,87471367,20078,13457,4573,2406,2684,3874,6338,13698,18431
917,Matzenheim,87214130,51545,43200,36149,32291,35607,30896,33544,32394,32089
918,Maubeuge,87295006,562000,513226,412450,337479,527684,477615,481661,431890,475237
919,Maurois,87345546,258,255,158,179,337,474,112,606,1118
920,Maurs,87645168,11078,10054,7095,3962,7724,11296,12471,11859,12099
921,Mauzé-sur-le-Mignon,87485250,128173,112170,78150,68328,77183,67241,58614,51344,52534
922,Mayet,87396580,27067,23316,19727,16029,33455,36665,33544,34907,35328
923,Menars,87574244,687,544,69,32,58,317,119,100,131
924,Menton Garavan,87756494,297073,253670,156927,107569,237138,196796,230197,210608,211987
925,Mertzwiller,87213207,147944,141651,104311,86344,104121,88847,83684,80337,74110
926,Mervans,87713701,12515,11555,7720,6217,9278,7265,7111,6259,7124
927,Mesvres,87694158,928,4257,4036,3184,2172,2285,2694,2472,2974
928,Metzervisse,87191338,3139,3220,3597,3651,4874,4727,5608,6276,6867
929,Meung-sur-Loire,87574137,440380,395501,292925,215000,319749,298142,290582,269021,281010
930,Meximieux - Pérouges,87723585,758108,715335,542160,460159,719403,681491,714130,675399,679778
931,Meymac,87594275,30977,26518,18401,15341,21029,17328,18350,18281,21825
932,Mignaloux - Nouaillé,87575704,5235,2275,2049,1869,2661,1697,2271,3942,4927
933,Monestier-de-Clermont,87747592,32178,19912,24324,16152,27898,23908,31707,29181,29440
934,Mont-sur-Meurthe,87141143,14745,11591,10240,8703,10788,9382,9930,12366,12404
935,Montargis,87684001,1798582,1531226,1227739,1002392,1717950,1642327,1673680,1588939,1588011
936,Montauban Ville Bourbon,87611244,1524100,1383328,1123736,835407,1048385,967481,1147797,1105851,1121171
937,Montauban-de-Bretagne,87471086,328539,278042,172566,145320,213580,174436,169875,162666,165515
938,Montbard,87713131,394196,378406,308015,265249,370420,362914,417551,407087,423669
939,Montceau-les-Mines,87694620,70967,99863,78743,66643,71447,53885,54713,50722,56742
940,Montfort-sur-Meu,87471078,586031,493201,323466,291403,417962,361647,344458,321844,317441
941,Montigny - Beauchamp,87276089,4702890,4595524,4427028,2474993,4906007,5044611,5036237,5024855,4996765
942,Montigny-en-Ostrevent,87345306,144760,134172,104126,95958,170115,161704,177849,175773,189412
943,Montluel,87723569,562874,509152,377446,326450,509568,454540,490801,477480,487928
944,Montmoreau,87583674,22189,19020,13875,9910,14114,10751,9864,8077,8848
945,Montmorillon,87575480,45973,42964,34892,31402,40196,32379,46147,46247,47460
946,Montpon-Ménestérol,87595322,180284,170416,139080,110935,162574,128349,139407,137303,134378
947,Montréjeau - Gourdan-Polignan,87611152,259556,223810,136940,93978,113771,112009,158653,181147,176929
948,Monts,87575035,183016,213404,132518,78777,128273,127149,126197,123088,126767
949,Montsûrs,87478537,32715,25367,16191,12317,29501,40391,45273,43528,39516
950,Monéteau - Gurgy,87683557,14412,13633,8713,11047,16007,16274,21150,16139,17069
951,Morannes,87484170,38275,34205,26525,19077,42135,49119,49926,47906,45928
952,Morbier,87715433,8419,9491,8355,5674,4844,2979,3589,3392,2632
953,Moret - Veneux-les-Sablons,87682278,1375243,1186265,1502530,906114,1436155,1504220,1580699,1626767,1669911
954,Moreuil,87313320,212537,188341,150176,120466,153728,143660,137375,141593,146451
955,Morhange,87192286,122693,106556,86458,67681,95491,85641,94951,88379,92337
956,Mouchard,87718833,172224,171941,131538,98864,105099,97303,121929,131187,139097
957,Mouroux,87116285,104086,93212,89278,59769,112857,115847,120331,122066,123599
958,Mouy - Bury,87313577,204405,189546,155861,133980,177877,159977,166487,171839,171293
959,Moyeuvre-Grande,87191718,53260,43655,30889,21202,33122,27761,27842,26040,28049
960,Moûtiers - Salins - Brides-les-Bains,87741728,406213,418763,215595,243632,362024,365095,377639,383165,399949
961,Mussidan,87595298,192487,175616,138210,113146,193647,157079,166861,151118,153845
962,Musée d'Orsay,87547307,4165915,3914727,3232109,2070490,4739380,4970262,5213150,5371774,5514887
963,Mâcon Loché TGV,87725705,465175,440823,340147,241155,468049,431203,458195,425545,426960
964,Mâlain,87713065,59698,62336,43075,36504,35042,33070,34726,35658,35307
965,Méroux,87184408,60663,50340,30976,19146,33018,1385,0,0,0
966,Méru,87313668,953660,907138,720919,585310,868888,804890,897366,857444,803770
967,Mézériat,87725838,46674,46871,44867,40104,41775,41173,42703,39153,43827
968,Narbonne,87781104,2589102,2134281,1569858,1045543,1238902,1225596,1498171,1508061,1439839
969,Naucelle,87615732,69229,38965,18026,15936,18942,13756,15434,14811,16082
970,Neau,87478545,5550,2919,3363,2608,4470,5280,5048,3814,3924
971,Neuilly - Porte Maillot,87381020,4124410,3875725,2059764,2230261,4692161,4984005,5342068,5600997,5844164
972,Neuville-sur-Sarthe,87396028,10455,11720,8866,6595,10593,7929,8107,6604,7769
973,Nevers Le Banlay,87559070,62260,84156,68827,61090,45742,47715,52362,47888,44787
974,Nice Pont Michel,87590299,32261,33234,29023,13946,26770,20167,26358,22258,17235
975,Nieppe,87287151,67428,66872,54514,53280,77174,84376,87413,85623,80779
976,Niort,87485300,1482134,1320394,1076078,805350,1233309,1166545,1255491,1269730,1234566
977,Nogent - Le Perreux,87113746,3212846,3019593,3079817,2091668,4819859,4841770,4864227,4806191,4716682
978,Nogent-sur-Vernisson,87684274,77468,67132,51534,33275,48845,43458,45666,46067,44440
979,Noisy-le-Sec,87113217,16649415,15647951,12963317,8762930,17495563,17492523,17446860,17100556,16693722
980,Nomain,87286609,2100,1614,515,1100,4336,4315,5098,4732,4678
981,Nortkerque,87287292,8070,5755,3145,2048,2870,2137,2398,2296,2749
982,Nouan-le-Fuzelier,87543157,39796,40834,29593,26442,35637,35741,40678,39239,39077
983,Novéant-sur-Moselle,87192427,145849,133565,121821,99185,126279,110310,118605,118501,121960
984,Noyal - Acigné,87471540,285601,246195,158526,141669,216068,167904,144860,138660,143357
985,Nuits-Saint-Georges,87713529,275660,272147,197473,200388,243129,220669,242194,239543,253622
986,Négrondes,87595132,9037,7557,4890,1806,2425,1607,1898,2600,2202
987,Nérondes,87576454,33743,32042,22127,17334,20245,16909,17891,20498,22791
988,Obermodern-Zutzendorf,87213165,228003,226246,176160,141240,186710,195390,196648,196029,194131
989,Orangis Bois de l'Épine,87681346,2221350,2087412,1691900,1131701,2527170,2521689,2526178,2482220,2425727
990,Orchies,87286583,1109770,1000192,783980,719981,1004517,923264,956390,912231,932604
991,Origny-en-Thiérache,87296145,6501,7732,9079,8383,5564,7553,11276,14697,14695
992,Orléans,87543009,4853108,4420737,2885388,2071845,3417122,3436479,3680857,3407093,3557414
993,Ormoy-Villers,87271585,35167,36319,37966,19872,34935,36850,39181,34870,31704
994,Ors,87295667,544,288,220,269,792,523,141,226,231
995,Osny,87381145,488469,493755,440124,184327,404587,448518,503619,551666,530495
996,Ouges,87712604,11403,8945,4629,7286,14461,11913,13018,11390,8819
997,Ourscamp,87276774,3086,3376,3109,2220,3655,2950,3494,4321,3527
998,Pagny-le-Château,87713669,10466,12001,7235,9037,9308,10308,11080,9126,8135
999,Pamproux,87485524,13045,11402,8912,5611,9903,6539,5132,6859,7432
1000,Pantin,87113209,8731368,8207191,5100100,3862190,8005187,8231485,8472409,8551965,8605431
1001,Parc des Expositions,87271486,3156050,2304239,1530324,1010255,2790979,2749960,2734326,2661353,2582285
1002,Peltre,87192203,31720,26353,20934,19134,27544,25365,26189,29581,33283
1003,Peyrilhac - Saint-Jouvent,87592428,2796,1191,734,268,275,332,461,411,131
1004,Pezou,87574541,4087,2386,1961,1136,1788,1513,2000,2721,2410
1005,Phalempin,87286500,257305,238185,198097,205214,331190,304017,305952,273362,283486
1006,Pierrefitte - Stains,87271163,11310252,10628690,9196051,4800915,9921222,10088539,9460414,8641481,8580947
1007,Plaisir - Grignon,87393421,3869976,2336338,2204517,1425832,2824885,2913422,3031163,3086849,3129448
1008,Plestan,87473090,11031,7989,5521,5232,7316,7344,8831,7570,6030
